duid,fy_start,fy_label,curtailment_pct,metric_version,generation_mwh,months_covered
CRURWF1,2023,FY23-24,0.011,2.0-proxy,310171.0,12
CRURWF1,2024,FY24-25,0.0311,2.0-proxy,314868.0,12
CRURWF1,2025,FY25-26,0.0188,2.0-proxy,381709.0,12
CRURWF1,2026,FY26-27,0.0019,2.0-proxy,59907.0,2
CRWARP1,2025,FY25-26,0.0988,2.0-proxy,132753.0,7
CRWARP1,2026,FY26-27,0.0196,2.0-proxy,37913.0,2
CRWASF1,2020,FY20-21,0.0974,2.0-proxy,3546.0,4
CRWASF1,2021,FY21-22,0.1722,2.0-proxy,49518.0,12
CRWASF1,2022,FY22-23,0.128,2.0-proxy,56515.0,12
CRWASF1,2023,FY23-24,0.0972,2.0-proxy,62234.0,12
CRWASF1,2024,FY24-25,0.0827,2.0-proxy,66531.0,12
CRWASF1,2025,FY25-26,0.2172,2.0-proxy,56225.0,12
CRWASF1,2026,FY26-27,0.043,2.0-proxy,7402.0,2
CSPVPS1,2020,FY20-21,0.0012,2.0-proxy,26145.0,4
CSPVPS1,2021,FY21-22,0.0113,2.0-proxy,89311.0,12
CSPVPS1,2022,FY22-23,0.0034,2.0-proxy,86793.0,12
CSPVPS1,2023,FY23-24,0.0068,2.0-proxy,85206.0,12
CSPVPS1,2024,FY24-25,0.0057,2.0-proxy,80502.0,12
CSPVPS1,2025,FY25-26,0.0354,2.0-proxy,79658.0,12
CSPVPS1,2026,FY26-27,0.0743,2.0-proxy,11917.0,2
CTHLWF1,2020,FY20-21,0.0082,2.0-proxy,171526.0,4
CTHLWF1,2021,FY21-22,0.0068,2.0-proxy,435239.0,12
CTHLWF1,2022,FY22-23,0.0164,2.0-proxy,423655.0,12
CTHLWF1,2023,FY23-24,0.0051,2.0-proxy,450837.0,12
CTHLWF1,2024,FY24-25,0.0069,2.0-proxy,469499.0,12
CTHLWF1,2025,FY25-26,0.0,2.0-proxy,516876.0,12
CTHLWF1,2026,FY26-27,0.0,2.0-proxy,96062.0,2
CUSF1,2025,FY25-26,0.4061,2.0-proxy,327978.0,12
CUSF1,2026,FY26-27,0.1627,2.0-proxy,80010.0,2
DARLSF1,2020,FY20-21,0.0858,2.0-proxy,99942.0,4
DARLSF1,2021,FY21-22,0.1378,2.0-proxy,461098.0,12
DARLSF1,2022,FY22-23,0.0689,2.0-proxy,516621.0,12
DARLSF1,2023,FY23-24,0.0695,2.0-proxy,582049.0,12
DARLSF1,2024,FY24-25,0.0882,2.0-proxy,541652.0,12
DARLSF1,2025,FY25-26,0.126,2.0-proxy,467900.0,12
DARLSF1,2026,FY26-27,0.0249,2.0-proxy,65712.0,2
DAYDSF1,2020,FY20-21,0.0054,2.0-proxy,94415.0,4
DAYDSF1,2021,FY21-22,0.0363,2.0-proxy,336149.0,12
DAYDSF1,2022,FY22-23,0.0205,2.0-proxy,318774.0,12
DAYDSF1,2023,FY23-24,0.0049,2.0-proxy,330834.0,12
DAYDSF1,2024,FY24-25,0.0384,2.0-proxy,316031.0,12
DAYDSF1,2025,FY25-26,0.2108,2.0-proxy,255753.0,12
DAYDSF1,2026,FY26-27,0.0212,2.0-proxy,46540.0,2
DDSF1,2020,FY20-21,0.0048,2.0-proxy,56323.0,4
DDSF1,2021,FY21-22,0.0402,2.0-proxy,192992.0,12
DDSF1,2022,FY22-23,0.016,2.0-proxy,204387.0,12
DDSF1,2023,FY23-24,0.0048,2.0-proxy,210224.0,12
DDSF1,2024,FY24-25,0.01,2.0-proxy,197490.0,12
DDSF1,2025,FY25-26,0.0108,2.0-proxy,212772.0,12
DDSF1,2026,FY26-27,0.005,2.0-proxy,35190.0,2
DULAWF1,2022,FY22-23,0.0145,2.0-proxy,46438.0,3
DULAWF1,2023,FY23-24,0.0045,2.0-proxy,511320.0,12
DULAWF1,2024,FY24-25,0.0033,2.0-proxy,606512.0,12
DULAWF1,2025,FY25-26,0.0011,2.0-proxy,629685.0,12
DULAWF1,2026,FY26-27,0.0,2.0-proxy,105977.0,2
DUNDWF1,2020,FY20-21,0.045,2.0-proxy,161922.0,4
DUNDWF1,2021,FY21-22,0.0189,2.0-proxy,587067.0,12
DUNDWF1,2022,FY22-23,0.0317,2.0-proxy,520541.0,12
DUNDWF1,2023,FY23-24,0.11,2.0-proxy,435299.0,12
DUNDWF1,2024,FY24-25,0.1331,2.0-proxy,465610.0,12
DUNDWF1,2025,FY25-26,0.2152,2.0-proxy,444473.0,12
DUNDWF1,2026,FY26-27,0.272,2.0-proxy,68419.0,2
DUNDWF2,2020,FY20-21,0.0211,2.0-proxy,41637.0,4
DUNDWF2,2021,FY21-22,0.0167,2.0-proxy,147483.0,12
DUNDWF2,2022,FY22-23,0.0002,2.0-proxy,144182.0,12
DUNDWF2,2023,FY23-24,0.0771,2.0-proxy,125874.0,12
DUNDWF2,2024,FY24-25,0.0488,2.0-proxy,143824.0,12
DUNDWF2,2025,FY25-26,0.0623,2.0-proxy,144434.0,12
DUNDWF2,2026,FY26-27,0.2717,2.0-proxy,18252.0,2
DUNDWF3,2020,FY20-21,0.0232,2.0-proxy,123526.0,4
DUNDWF3,2021,FY21-22,0.0081,2.0-proxy,420877.0,12
DUNDWF3,2022,FY22-23,0.0481,2.0-proxy,378160.0,12
